iter	Passed	Remaining
0	10	10823
1	20	10127
2	32	10826
3	68	16990
4	106	21170
5	247	40961
6	422	59895
7	448	55573
8	458	50437
9	466	46138
10	475	42729
11	483	39809
12	492	37384
13	501	35286
14	508	33404
15	515	31695
16	523	30280
17	530	28957
18	537	27764
19	547	26805
20	557	26008
21	566	25185
22	577	24518
23	586	23831
24	595	23210
25	603	22596
26	611	22046
27	619	21509
28	629	21092
29	640	20699
30	650	20318
31	659	19950
32	670	19640
33	679	19306
34	688	18971
35	696	18657
36	705	18364
37	715	18125
38	725	17885
39	736	17671
40	748	17504
41	759	17329
42	769	17121
43	777	16889
44	785	16671
45	795	16489
46	804	16307
47	812	16118
48	819	15910
49	827	15729
50	835	15544
51	842	15355
52	849	15185
53	857	15016
54	864	14852
55	872	14716
56	880	14562
57	887	14415
58	894	14266
59	901	14120
60	909	14001
61	916	13870
62	923	13742
63	931	13623
64	938	13498
65	945	13378
66	952	13266
67	960	13169
68	968	13070
69	975	12960
70	983	12867
71	992	12787
72	999	12693
73	1006	12593
74	1013	12499
75	1020	12403
76	1027	12313
77	1034	12232
78	1043	12165
79	1051	12090
80	1058	12006
81	1065	11928
82	1073	11859
83	1081	11788
84	1088	11712
85	1095	11645
86	1103	11576
87	1110	11504
88	1118	11450
89	1125	11382
90	1133	11319
91	1140	11255
92	1148	11201
93	1156	11143
94	1163	11088
95	1171	11027
96	1177	10964
97	1184	10904
98	1191	10845
99	1198	10790
100	1208	10759
101	1216	10709
102	1223	10658
103	1230	10601
104	1237	10544
105	1244	10494
106	1251	10443
107	1258	10390
108	1266	10354
109	1274	10309
110	1281	10262
111	1288	10216
112	1295	10171
113	1302	10122
114	1309	10076
115	1318	10044
116	1326	10008
117	1333	9964
118	1340	9921
119	1347	9879
120	1354	9837
121	1361	9796
122	1368	9759
123	1375	9720
124	1382	9678
125	1390	9643
126	1397	9608
127	1407	9591
128	1414	9553
129	1422	9519
130	1429	9482
131	1436	9445
132	1443	9410
133	1451	9379
134	1457	9340
135	1465	9307
136	1472	9275
137	1479	9244
138	1488	9217
139	1495	9188
